34,4,1,6,-5
34,5,1,7,-6
34,6,4,1,3
34,7,3,4,-1
34,8,1,2,-1
34,9,10,1,9
34,10,13,4,9
35,1,2,0,2
35,2,2,0,2
35,3,5,3,2
35,4,5,0,5
35,5,1,0,1
35,6,4,1,3
35,7,12,0,12
35,8,3,8,-5
35,9,2,7,-5
35,10,6,7,-1
36,1,3,10,-7
36,2,7,9,-2
36,3,3,4,-1
36,4,1,11,-10
36,5,2,8,-6
36,6,2,12,-10
36,7,4,10,-6
36,8,5,1,4
36,9,11,2,9
36,10,17,17,0
37,1,2,2,0
37,2,0,0,0
37,3,8,4,4
37,4,6,3,3
37,5,8,2,6
37,6,13,14,-1
37,7,9,13,-4
37,8,5,18,-13
37,9,12,21,-9
37,10,6,21,-15
38,1,0,2,-2
38,2,0,4,-4
38,3,4,2,2
38,4,6,6,0
38,5,8,8,0
38,6,4,11,-7
38,7,0,23,-23
38,8,7,11,-4
38,9,11,13,-2
38,10,15,18,-3
39,1,0,6,-6
39,2,2,6,-4
39,3,2,13,-11
39,4,5,7,-2
39,5,8,1,7
39,6,5,4,1
39,7,3,2,1
39,8,0,7,-7
39,9,0,6,-6
39,10,5,16,-11
40,1,3,6,-3
40,2,0,3,-3
40,3,1,5,-4
40,4,0,6,-6
40,5,2,4,-2
40,6,7,6,1
40,7,7,5,2
40,8,3,3,0
40,9,2,3,-1
40,10,20,6,14
41,1,9,12,-3
41,2,8,19,-11
41,3,8,14,-6
41,4,19,19,0
41,5,26,24,2
41,6,19,28,-9
41,7,11,25,-14
41,8,8,5,3
41,9,7,4,3
41,10,19,26,-7
42,1,4,3,1
42,2,9,3,6
42,3,14,5,9
42,4,11,1,10
42,5,3,3,0
42,6,1,2,-1
42,7,1,0,1
42,8,3,0,3
42,9,8,1,7
42,10,4,11,-7
43,1,0,3,-3
43,2,0,4,-4
43,3,5,14,-9
43,4,9,20,-11
43,5,11,15,-4
43,6,19,20,-1
43,7,15,11,4
43,8,9,10,-1
43,9,5,21,-16
43,10,11,23,-12
44,1,2,0,2
44,2,0,2,-2
44,3,0,6,-6
44,4,2,3,-1
44,5,1,6,-5
44,6,2,8,-6
44,7,3,3,0
44,8,4,2,2
44,9,4,1,3
44,10,6,3,3
45,1,0,0,0
45,2,1,1,0
45,3,7,3,4
45,4,8,1,7
45,5,7,1,6
45,6,5,7,-2
45,7,16,15,1
45,8,13,15,-2
45,9,12,10,2
45,10,11,14,-3
46,1,3,1,2
46,2,1,0,1
46,3,3,4,-1
46,4,15,14,1
46,5,14,21,-7
46,6,15,28,-13
46,7,16,23,-7
46,8,16,33,-17
46,9,17,24,-7
46,10,13,26,-13
47,1,5,5,0
47,2,5,5,0
47,3,6,2,4
47,4,5,0,5
47,5,11,4,7
47,6,2,0,2
47,7,7,5,2
47,8,5,1,4
47,9,1,2,-1
47,10,2,4,-2
48,1,1,1,0
48,2,1,2,-1
